iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_land_cover,percentage_oecms_pa_marine_cover
GHA,227.2,35435.17,227115,238785.33,14.84,0.1,20.66,na,National Biodiversity Strategy and Action Plan (v.2),https://www.cbd.int/doc/world/gh/gh-nbsap-v2-en.pdf,227.2,35435.17,14.84,0.1
GIB,55.17,2.09,0,7.91,26.37,0,na,na,0,na,55.17,2.09,26.37,0
GIN,618.66,91955.35,102345.67,244497.77,37.61,0.6,15,na,5,https://www.cbd.int/doc/world/gn/gn-nr-05-fr.pdf,618.66,91955.35,37.61,0.6
GLP,90363.67,1162.91,90860.28,1638.2,70.99,99.45,na,na,0,na,90363.67,1162.91,70.99,99.45
GMB,144.01,817.91,22964.11,10700.04,7.64,0.63,6.4,7.4,6,https://chm.cbd.int/database/record/72F99C09-A17F-497F-7B00-EE38CDE69E5D,144.01,817.91,7.64,0.63
GNB,9713.72,8703.43,107090.31,33231.99,26.19,9.07,13.75,12.63,National Biodiversity Strategy and Action Plan (v.2),https://www.cbd.int/doc/world/gw/gw-nbsap-v2-en.pdf,9713.72,8703.43,26.19,9.07
GNQ,814.92,5103.23,304144.19,26877.27,18.99,0.27,na,na,0,na,814.92,5103.23,18.99,0.27
GRC,22844.37,46224.25,483305.6,132028.96,35.01,4.73,21,6,5,https://www.cbd.int/doc/world/gr/gr-nr-05-en.pdf,22844.37,46224.25,35.01,4.73
GRD,30.03,30.99,25579.85,354.23,8.75,0.12,na,na,5,https://www.cbd.int/doc/world/gd/gd-nr-05-en.pdf,30.03,30.99,8.75,0.12
GRL,95011.52,909016.22,2270096.58,2168892.7,41.91,4.19,na,na,0,na,95011.52,909016.22,41.91,4.19
GTM,1028.58,21912.61,109963.34,108853.23,20.13,0.94,31.06,na,5,https://www.cbd.int/doc/world/gt/gt-nr-05-es.pdf,1028.58,21912.61,20.13,0.94
GUF,829.6,43817.55,131306.29,83327.5,52.58,0.63,na,na,0,na,829.6,43817.55,52.58,0.63
GUM,42.23,22.55,208222.1,543.71,4.15,0.02,na,na,0,na,42.23,22.55,4.15,0.02
GUY,84.01,17775.05,135489.96,210631.67,8.44,0.06,8.6,na,0,https://www.cbd.int/doc/world/gy/gy-nbsap-v3-en.pdf,84.01,17775.05,8.44,0.06
HKG,63.41,473.42,0,1125.82,42.05,0,na,na,0,na,63.41,473.42,42.05,0
HMD,70588.8,363.8,417347.66,363.8,100,16.91,na,na,0,na,70588.8,363.8,100,16.91
HND,10282.66,26143.54,208551.02,111825.72,23.38,4.93,27,0,0,https://www.cbd.int/doc/world/hn/hn-nbsap-v2-es.pdf,10282.66,26143.54,23.38,4.93
HRV,5158.02,21722.55,55225.46,56566.94,38.4,9.34,12.2,1.94,5,https://www.cbd.int/doc/world/hr/hr-nr-05-en.pdf,5158.02,21722.55,38.4,9.34
HTI,1853.42,2308.29,103555.12,26923.83,8.57,1.79,6.28,na,5,https://www.cbd.int/doc/world/ht/ht-nr-05-fr.pdf,1853.42,2308.29,8.57,1.79
HUN,0,21065.85,0,93009.44,22.65,0,22.2,0,5,https://www.cbd.int/doc/world/hu/hu-nr-05-en.pdf,0,21065.85,22.65,0
IDN,180764.59,226555.83,6021765.01,1885353.97,12.02,3,22,na,5,https://www.cbd.int/doc/world/id/id-nr-05-en.pdf,180764.59,226555.83,12.02,3
IMN,427.79,26.26,3965.64,575.25,4.56,10.79,na,na,0,na,427.79,26.26,4.56,10.79
IND,7182.64,227514.65,2325758.83,2969558.79,7.66,0.31,na,na,6,https://chm.cbd.int/database/record/93FF87C5-5D5D-B150-2A0F-5D3AF67E77C9,7182.64,227514.65,7.66,0.31
IRL,10069.84,10102.48,428006.53,70196.58,14.39,2.35,14,1.4,5,https://www.cbd.int/doc/world/ie/ie-nr-05-en.pdf,10069.84,10102.48,14.39,2.35
IRN,2031.35,139971.43,215410.68,1623116.42,8.62,0.94,10.4,na,5,https://www.cbd.int/doc/world/ir/ir-nr-05-en.pdf,2031.35,139971.43,8.62,0.94
IRQ,4.17,6690.16,1347.96,436979.9,1.53,0.31,na,na,0,na,4.17,6690.16,1.53,0.31
ISL,3500.47,21088.36,764590.74,100973.71,20.88,0.46,na,na,0,https://chm.cbd.int/database/record/BF781FE9-A0CB-A201-0EAA-F59EC1EC1EFA,3500.47,21088.36,20.88,0.46
ISR,156.78,5733.9,25967.19,20779.35,27.59,0.6,21,na,5,https://www.cbd.int/doc/world/il/il-nr-05-en.pdf,156.78,5733.9,27.59,0.6
ITA,57470.51,64812.6,536462.93,300751.67,21.55,10.71,21,19.1,6,https://chm.cbd.int/database/record/075ADA4C-96AD-4864-9C6C-D252F644A314,57470.51,64812.6,21.55,10.71
JAM,1904.49,2187.21,257065.26,10985.29,19.91,0.74,18,15,5,https://www.cbd.int/doc/world/jm/jm-nr-05-en.pdf,1904.49,2187.21,19.91,0.74
JEY,186.99,20.47,2332.09,124.73,16.41,8.02,na,na,0,na,186.99,20.47,16.41,8.02
JOR,2.7,4836.97,97.26,89126.17,5.43,2.78,1.6,25,6,https://chm.cbd.int/database/record/E3AD5C2C-E18B-0515-2B13-B5906FB9C971,2.7,4836.97,5.43,2.78
JPN,560806.53,109898.24,4066374.07,372246.09,29.52,13.79,20.3,8.3,6,https://chm.cbd.int/en/database/record?documentID=241284,560806.93,110355.33,29.65,13.79
KAZ,60002.59,274586.18,114382.14,2719652.75,10.1,52.46,8.96,na,6,https://chm.cbd.int/database/record/104097C9-32D6-85B6-4630-6D69CC6DC2EF,60002.59,274586.18,10.1,52.46
KEN,724.97,81459.69,123782.63,583126.76,13.97,0.59,8,na,5,https://www.cbd.int/doc/world/ke/ke-nr-05-en.pdf,724.97,81459.69,13.97,0.59
KGZ,0,13423.23,0,198319.83,6.77,0,7.38,na,6,https://chm.cbd.int/database/record/411B9A5E-1A4D-858E-3E40-643E17C4E9CC,0,13423.23,6.77,0
KHM,719.34,72058.34,48718.84,181145.1,39.78,1.48,18,na,5,https://www.cbd.int/doc/world/kh/kh-nr-05-en.pdf,719.34,72058.34,39.78,1.48
KIR,409387.78,214.03,3440042.87,934.54,22.9,11.9,na,na,0,na,409387.78,214.03,22.9,11.9
KNA,429.29,44.1,9507.56,261.19,16.88,4.52,na,na,6,https://chm.cbd.int/database/record/C0A7116F-F642-2089-08C4-81605C16F1BC,429.29,44.1,16.88,4.52
KOR,7771.32,17671.03,346806.9,101290.93,17.45,2.24,11.57,1.4,6,https://chm.cbd.int/database/record/37C38AFC-AF9F-168E-B555-2EBA21CF2DCD,7771.69,17712.82,17.49,2.24
