"iso3","pa_marine_area","pa_land_area","marine_area","land_area","percentage_pa_land_cover","percentage_pa_marine_cover","percentage_nr_land_cover","percentage_nr_marine_cover","nr_version","nr_report_url"
"GNQ",729.714846,5228.231142,310365.4119,27136.01782,19.26676,0.235115,"na","na",0,"na"
"GRC",22326.02504,46842.03965,494172.4508,133012.2689,35.21633,4.517861,21,6,5,"https://www.cbd.int/doc/world/gr/gr-nr-05-en.pdf"
"GRD",22.668297,36.525372,26281.5155,373.565244,9.777508,0.086252,"na","na",5,"https://www.cbd.int/doc/world/gd/gd-nr-05-en.pdf"
"GRL",102254.1019,885525.0131,2264467.117,2154016.464,41.11041,4.515592,"na","na",0,"na"
"GTM",1065.193984,22038.64399,118336.3927,109922.2585,20.0493,0.900141,31.06,"na",5,"https://www.cbd.int/doc/world/gt/gt-nr-05-es.pdf"
"GUF",1365.477587,43587.5294,136563.8487,83034.50925,52.49327,0.999882,"na","na",0,"na"
"GUM",18.36469,126.105991,202535.0554,561.240901,22.46914,0.009067,"na","na",0,"na"
"GUY",25.855686,17952.53575,136909.9886,211200.2683,8.500243,0.018885,8.6,"na",0,"https://www.cbd.int/doc/world/gy/gy-nbsap-v3-en.pdf"
"HKG",77.63466,461.758922,0,1102.47934,41.88368,0,"na","na",0,"na"
"HMD",70453.52882,391.198904,416110.9534,391.198904,100,16.93143,"na","na",0,"na"
"HND",10070.08933,26567.52461,219971.1738,113291.4823,23.45059,4.577913,27,0,0,"https://www.cbd.int/doc/world/hn/hn-nbsap-v2-es.pdf"
"HRV",4986.84774,21766.97501,55462.35822,56855.88522,38.28447,8.991409,12.2,1.94,5,"https://www.cbd.int/doc/world/hr/hr-nr-05-en.pdf"
"HTI",1812.872701,1954.3493,123867.1844,27390.24191,7.135203,1.463562,6.28,"na",5,"https://www.cbd.int/doc/world/ht/ht-nr-05-fr.pdf"
"HUN",0,21049.06129,0,93142.45067,22.59878,0,22.2,0,5,"https://www.cbd.int/doc/world/hu/hu-nr-05-en.pdf"
"IDN",181848.6846,231945.6876,5947954.167,1906555.047,12.1657,3.057332,22,"na",5,"https://www.cbd.int/doc/world/id/id-nr-05-en.pdf"
"IMN",419.422876,31.751404,0,582.226592,5.453444,0,"na","na",0,"na"
"IND",3928.327364,182646.7039,2301226.499,3061193.496,5.966519,0.170706,"na","na",6,"https://chm.cbd.int/database/record/93FF87C5-5D5D-B150-2A0F-5D3AF67E77C9"
"IOT",642270.8732,68.952846,642744.6863,68.952846,100,99.92628,"na","na",0,"na"
"IRL",9943.907556,10123.20647,426441.7422,70128.37704,14.43525,2.331833,14,1.4,5,"https://www.cbd.int/doc/world/ie/ie-nr-05-en.pdf"
"IRN",1808.644138,140225.7781,224800.6295,1627857.17,8.614133,0.804555,10.4,"na",5,"https://www.cbd.int/doc/world/ir/ir-nr-05-en.pdf"
"IRQ",0,6713.746023,595.830425,437830.5052,1.533412,0,"na","na",0,"na"
"ISL",3168.275283,19976.67768,752783.5116,102301.7663,19.52721,0.420875,"na","na",0,"https://chm.cbd.int/database/record/BF781FE9-A0CB-A201-0EAA-F59EC1EC1EFA"
"ISR",11.840292,5132.611984,27855.0403,20958.0329,24.48995,0.042507,21,"na",5,"https://www.cbd.int/doc/world/il/il-nr-05-en.pdf"
"ITA",52462.52647,64766.9897,538880.953,301335.3097,21.49333,9.735457,21,19.1,6,"https://chm.cbd.int/database/record/075ADA4C-96AD-4864-9C6C-D252F644A314"
