iso3,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover
MLT,0.02,3.14,0,0.97
MMR,1774.69,2480.14,0.35,0.37
MNE,0,850.07,0,6.14
MNG,0,208433.22,0,13.31
MNP,0,0,0,0
MOZ,9598.21,142159,1.67,17.97
MRT,6487.58,6412.38,4.15,0.61
MSR,0,0,0,0
MTQ,0,0,0,0
MUS,3.78,63.29,0,3.07
MWI,0,15436.06,0,12.99
MYS,1325.28,7239.04,0.29,2.18
MYT,0,0,0,0
NAM,243.84,129581.96,0.04,15.66
NCL,15558.31,193.97,1.13,1.01
NER,0,188561.13,0,15.84
NFK,1.49,0.44,0,1.02
NGA,0,14510.7,0,1.59
NIC,638.24,6706.64,0.29,5.19
NIU,0,0,0,0
NLD,0,0,0,0
NOR,100.45,1125.92,0.01,0.35
NPL,0,25086.47,0,16.98
NRU,0,0,0,0
NZL,14582.27,26072.79,0.36,9.67
OMN,0,0,0,0
PAK,0,236.93,0,0.03
PAN,4486.82,17330.62,1.35,22.96
PCN,4.25,37.04,0,81.24
PER,66716.55,193677.17,7.96,14.92
PHL,1674.36,5146.31,0.09,1.72
PLW,78.31,14.52,0.01,2.9
PNG,3029.71,13093.65,0.13,2.8
POL,6355.9,46040.18,19.9,14.76
PRI,0,0,0,0
PRK,0,0,0,0
PRT,2140.35,10801.45,0.12,11.72
PRY,0,9793.23,0,2.44
PSE,0,0,0,0
PYF,6.7,8.89,0,0.24
QAT,0,0,0,0
REU,0.88,1064.43,0,41.97
ROU,693.91,11756.29,2.33,4.95
RUS,18197.38,225313.77,0.24,1.34
RWA,0,2216.08,0,8.71
SAU,0,4107.7,0,0.21
SDN,0,15953.71,0,0.85
SEN,2229.57,11649.06,1.41,5.89
SGP,0,32.27,0,5.34
SGS,0,0,0,0
SHN,0,0,0,0
SJM,0,0,0,0
SLB,519.26,308.94,0.03,1.06
SLE,380.17,3601.96,0.24,4.95
SLV,0,60.56,0,0.29
SOM,0,0,0,0
SPM,0,0,0,0
SRB,0,4102.34,0,4.63
SSD,0,59270.9,0,9.35
STP,0,0,0,0
SUR,1980.33,20899.48,1.54,14.16
SVK,0,10893.94,0,22.26
SVN,0.41,1955.57,0.22,9.63
SWE,1079.94,10548.04,0.7,2.35
SWZ,0,328.06,0,1.89
SXM,0,0,0,0
SYC,2435.26,167.22,0.18,34.35
SYR,13.56,111.7,0.13,0.06
TCA,0,0,0,0
TCD,0,172372.59,0,13.5
TGO,0,3644.38,0,6.34
THA,0,38921.38,0,7.52
TJK,0,26003.31,0,18.28
TKL,0,0,0,0
TKM,1956.8,9093.28,2.51,1.93
TLS,0,0,0,0
TON,5,49.21,0,6.42
TTO,0,0,0,0
TUN,225.02,508.08,0.22,0.33
TUR,128.25,798.75,0.05,0.1
TUV,0,0,0,0
TWN,0,0,0,0
TZA,4231.4,123824.27,1.74,13.07
UGA,0,16000.01,0,6.58
UKR,130.02,7285.45,0.1,1.22
UMI,2305.16,1.46,0.12,0.4
URY,666.04,1876.14,0.51,1.05
USA,1525656.84,136130.75,17.76,1.43
UZB,0,1871.27,0,0.42
VCT,50.39,49.16,0.14,11.99
VEN,4120.9,131343.48,0.87,14.32
VGB,0,0,0,0
VIR,20.5,39.57,0.06,10.53
VNM,716.18,13486.51,0.11,4.09
VUT,0.8,30.03,0,0.24
WLF,0,0,0,0
WSM,0,0,0,0
YEM,1234.21,2874.02,0.23,0.63
ZAF,3912.38,77561.06,0.25,6.33
ZMB,0,117568.43,0,15.56
ZWE,0,24345.92,0,6.2
