iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_marine_cover,percentage_oecms_pa_land_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url
CUW,11.656382,71.009581,30535.00449,450.975385,15.74578,0.038174,11.656382,71.009581,0.038173834,15.74577757,na,na,na,na
CXR,0.753374,87.645896,330035.5,142.416955,61.54176,0.000228,0.753374,87.645896,0.000228271,61.54175674,na,na,na,na
CYM,92.901287,31.133127,119605.4547,289.266866,10.76277,0.077673,92.901287,31.133127,0.077673119,10.76276984,na,na,na,na
CYP,8472.222568,3498.329143,98279.50173,9063.433945,38.59827,8.620539,8472.222568,3498.329143,8.620538788,38.59827483,na,na,5,https://www.cbd.int/doc/world/cy/cy-nr-05-en.pdf
CZE,0,17268.14706,0,77916.89786,22.16226,0,0,17268.14706,0,22.16226201,na,na,6,https://chm.cbd.int/database/record/C94184E8-C30E-C894-DD41-0F1C62E7AD6A
DEU,25580.09677,135165.6099,56357.93768,357584.3854,37.79964,45.38863,25580.09677,135165.6099,45.3886317,37.79963987,na,0,5,https://www.cbd.int/doc/world/de/de-nr-05-en.pdf
Disputed,0,0,2199177.4,241966.7,0,0,0,0,0,0,,,,
DJI,11.802761,343.960179,7031.12303,21843.65212,1.574646,0.167865,11.802761,343.960179,0.167864521,1.57464593,,,,na
DMA,10.00158,168.277831,28749.1828,766.22784,21.96185,0.034789,10.00158,168.277831,0.034789093,21.96185289,,,,https://www.cbd.int/doc/world/dm/dm-nbsap-v2-en.pdf
DNK,18408.28244,7690.512372,100469.7507,45314.39778,16.97145,18.32221,18408.28244,7690.512372,18.32221371,16.97145444,,,,https://www.cbd.int/doc/world/dk/dk-nr-05-en.pdf
DOM,48624.97645,12727.39737,270774.1738,48509.80547,26.23675,17.95776,48624.97645,12727.39737,17.95776006,26.23675203,,,,https://chm.cbd.int/database/record/4CAD6958-68E8-A0AB-E856-852720AD7CF8
DZA,87.744377,107865.0166,128992.9935,2324458.588,4.640436,0.068023,87.744377,1236757.017,0.068022591,53.20624008,,,,https://chm.cbd.int/pdf/documents/nationalReport6/241357/1
ECU,144122.7596,57706.10802,1079901.071,258138.6687,22.35469,13.34592,144122.7596,57706.10802,13.34592247,22.35469343,,,,https://chm.cbd.int/database/record/6120BF7A-BD24-5225-9DEF-4D4BE3AD3799
EGY,11715.81678,129389.8156,236612.0565,984997.4881,13.13605,4.951488,11715.81678,129389.8156,4.951487659,13.13605538,14.6,na,0,na
ERI,0,5936.248417,78827.41736,121834.4031,4.872391,0,0,5936.248417,0,4.872390938,na,na,0,na
ESH,513.09949,616.149781,252024.2549,268339.2162,0.229616,0.203591,513.09949,616.149781,0.203591313,0.229616002,na,na,0,na
ESP,128316.4717,142573.485,1005717.296,507013.405,28.12026,12.7587,128316.4717,142573.485,12.75870189,28.12025946,27.3,8,0,na
EST,6825.428384,9632.983518,36346.36825,45416.48284,21.21033,18.77884,6825.428384,9632.983518,18.77884563,21.21032479,18.8,27,6,https://chm.cbd.int/database/record/E23CB1F7-405F-D3C8-C1A5-8D2912E49CCE
ETH,0,182396.2743,0,1135429.227,16.06408,0,0,182396.2743,0,16.06408131,14,na,6,https://chm.cbd.int/database/record/86A4EACE-5D8E-479D-CD33-319D77EA9032
FIN,9525.707016,44913.48018,79467.83379,337725.5344,13.29881,11.98687,9525.707016,44913.48018,11.98687137,13.2988109,13.8,17,6,https://chm.cbd.int/database/record/8BC90B3F-3587-ED1A-0BE5-FBA1287318A4
FJI,11959.01449,1036.512388,1293034.72,19154.95614,5.411197,0.92488,11959.01449,1036.512388,0.924879611,5.411196874,2.7,na,5,https://www.cbd.int/doc/world/fj/fj-nr-05-en.pdf
FLK,52.093517,61.100176,549091.6441,12400.947,0.492706,0.009487,52.093517,61.100176,0.009487217,0.492705727,na,na,0,na
FRA,173159.1683,149758.7314,343866.3878,548954.0701,27.28074,50.35653,173159.1683,149758.7314,50.35652639,27.28073979,29.5,22.91,6,https://chm.cbd.int/database/record/C838741D-098B-3BAC-AE88-3EDACDB092EA
FRO,28.889108,33.786873,266720.4336,1450.644909,2.329093,0.010831,28.889108,33.786873,0.010831232,2.329093274,na,na,0,na
FSM,475.050992,0.401738,3011916.98,817.158681,0.049163,0.015772,475.050992,0.401738,0.01577238,0.049162789,na,na,5,https://www.cbd.int/doc/world/fm/fm-nr-05-en.pdf
GAB,55720.64663,59707.74205,193292.3301,266044.6066,22.44276,28.82714,55720.64663,59707.74205,28.82713794,22.44275605,na,na,0,na
GBR,319765.3296,70477.85487,723404.7034,245247.5873,28.73743,44.20283,319765.3296,70477.85487,44.202827,28.73743046,28,24,6,https://chm.cbd.int/database/record/A8D6330F-38E5-1E72-50A3-406ABFBB9612
GEO,152.96289,6500.824045,22907.00911,69971.96837,9.290612,0.667756,152.96289,6500.824045,0.667755835,9.290611936,8.62,na,5,https://www.cbd.int/doc/world/ge/ge-nr-05-en.pdf
GGY,33.480134,3.42847,8672.655691,85.559741,4.007107,0.386043,33.480134,9.42847,0.386042467,11.01975052,na,na,0,na
