"iso3","pa_marine_area","pa_land_area","marine_area","land_area","percentage_pa_land_cover","percentage_pa_marine_cover","percentage_nr_land_cover","percentage_nr_marine_cover","nr_version","nr_report_url"
"NIU","37","53","318244","268","19.96","0.01","0","0",5,"https://www.cbd.int/doc/world/nu/nu-nr-05-en.pdf"
"NPL","0","34898","0","147710","23.63","0","0","0",6,"https://chm.cbd.int/database/record/A6B3AF62-55F8-F0D0-7106-76D42630A951"
"OMN","664","7985","538980","310373","2.57","0.12","0","0",5,"https://www.cbd.int/doc/world/om/om-nr-05-en.pdf"
"PAK","1707","98288","222744","798144","12.31","0.77","0","0",5,"https://www.cbd.int/doc/world/pk/pk-nr-05-en.pdf"
"PCN","839649","37","839479","46","81.24","100","0","0",0,
"PHL","21269","45929","1835028","298775","15.37","1.16","0","0","PBSAP 2015-2028","https://www.cbd.int/doc/world/ph/ph-nbsap-v3-en.pdf"
"PLW","608173","221","608152","501","44.18","100","0","0",,"https://www.cbd.int/doc/world/pw/pw-nr-05-en.pdf"
"PNG","4585","14330","2407382","467406","3.07","0.19","0","0",0,
"PRI","3078","657","176163","9041","7.27","1.75","0","0",0,
"PRK","26","2976","115967","122186","2.44","0.02","0","0",5,"https://www.cbd.int/doc/world/kp/kp-nr-05-en.pdf"
"PRT","285600","21115","1724156","92141","22.92","16.56","0","0",5,"https://www.cbd.int/doc/world/pt/pt-nr-05-pt.pdf"
"PRY","0","57473","0","401498","14.31","0","0","0",6,"https://chm.cbd.int/database/record/4406F62E-6E7A-1826-E2B9-082208FCC685"
"PSE","0","517","0","6182","8.36","0","0","0",5,"https://www.cbd.int/doc/world/ps/ps-nr-05-en.pdf"
"PYF","207","74","4795468","3780","1.95","0","0","0",0,
"QAT","538","1513","31988","11436","13.23","1.68","0","0",,"https://www.cbd.int/doc/world/qa/qa-nr-05-ar.pdf"
"REU","41","1600","316499","2536","63.1","0.01","0","0",0,
"ROU","6866","58225","29726","237453","24.52","23.1","0.02","0",5,"https://www.cbd.int/doc/world/ro/ro-nr-05-en.pdf"
