site_id,iso3,method,yr_ass,
198291,ARG,WHA Outlook Report,2014,
555558344,ARG,METT,2012,
16880,ARG,METT,2009,
16831,ARG,METT,2010,
16882,ARG,METT,2009,
900779,ARG,Birdlife IBA,2013,
555587123,ARG,Birdlife IBA,2013,
97483,ARG,Valdiviana,2001,
97478,ARG,Valdiviana,2001,
19604,ARG,METT,2003,
23,ARG,GOBI Survey,2006,
98129,ARG,METT,2009,
555587168,ARG,GOBI Survey,2014,
900725,ARG,GOBI Survey,2009,
145501,ARG,GOBI Survey,2009,
16894,ARG,GOBI Survey,2009,
5082,ARG,GOBI Survey,2009,
220252,ARG,GOBI Survey,2009,
23,ARG,GOBI Survey,2009,
10722,ARG,GOBI Survey,2009,
555547531,ARG,GOBI Survey,2009,
555587169,ARG,GOBI Survey,2009,
900662,ARG,GOBI Survey,2009,
220253,ARG,GOBI Survey,2009,
11584,ARG,GOBI Survey,2009,
93409,ARG,GOBI Survey,2009,
555626096,ARG,GOBI Survey,2015,
301949,BTN,Bhutan METT+,2016,
5061,BTN,Bhutan METT+,2016,
5066,BTN,Bhutan METT+,2016,
64417,BTN,Bhutan METT+,2016,
20445,BTN,Bhutan METT+,2016,
7996,BTN,Bhutan METT+,2016,
64415,BTN,Bhutan METT+,2016,
555576122,BTN,Bhutan METT+,2016,
9786,MYS,METT,2011,
9786,MYS,METT,2013,
9786,MYS,METT,2005,
9812,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2015,
10028,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
18307,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
19636,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2015,
19637,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
19638,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
19639,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
19640,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
19641,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
19642,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
19643,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
19644,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
19645,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
19646,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
19647,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2015,
19648,MYS,Combination Of Methods (PAME and METT),2012,
198387,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
198389,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
198391,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
198392,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
198394,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
198395,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
198397,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
198401,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2015,
198402,MYS,Combination Of Methods (PAME and METT),2012,
198406,MYS,Combination Of Methods (PAME and METT),2012,
198407,MYS,Combination Of Methods (PAME and METT),2012,
198410,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
198411,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
198412,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
198413,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2014,
198420,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2016,
198421,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2016,
198422,MYS,Management Effectiveness Assessment Tool (MEAT) developed and adapted from CTI CFF.,2016,
555592745,COL,AEMAPPS,2016,
303541,COL,AEMAPPS,2016,
135,COL,AEMAPPS,2016,
555592746,COL,AEMAPPS,2016,
20002,COL,AEMAPPS,2016,
19993,COL,AEMAPPS,2016,
143,COL,AEMAPPS,2016,
166738,COL,AEMAPPS,2016,
555511940,COL,AEMAPPS,2016,
555592686,COL,AEMAPPS,2016,
2234,COL,AEMAPPS,2016,
134,COL,AEMAPPS,2016,
153,COL,AEMAPPS,2016,
133,COL,AEMAPPS,2016,
303546,COL,AEMAPPS,2016,
129,COL,AEMAPPS,2016,
138,COL,AEMAPPS,2016,
12223,COL,AEMAPPS,2016,
10754,COL,AEMAPPS,2016,
35272,COL,AEMAPPS,2016,
127,COL,AEMAPPS,2016,
3009,COL,AEMAPPS,2016,
150,COL,AEMAPPS,2016,
142,COL,AEMAPPS,2016,
9400,COL,AEMAPPS,2016,
139,COL,AEMAPPS,2016,
148,COL,AEMAPPS,2016,
128,COL,AEMAPPS,2016,
31398,COL,AEMAPPS,2016,
555592786,COL,AEMAPPS,2016,
147,COL,AEMAPPS,2016,
149,COL,AEMAPPS,2016,
303552,COL,AEMAPPS,2016,
146,COL,AEMAPPS,2016,
136,COL,AEMAPPS,2016,
19992,COL,AEMAPPS,2016,
35271,COL,AEMAPPS,2016,
555511938,COL,AEMAPPS,2016,
303548,COL,AEMAPPS,2016,
131,COL,AEMAPPS,2016,
145,COL,AEMAPPS,2016,
19991,COL,AEMAPPS,2016,
141,COL,AEMAPPS,2016,
303547,COL,AEMAPPS,2016,
140,COL,AEMAPPS,2016,
555511937,COL,AEMAPPS,2016,
19984,COL,AEMAPPS,2016,
555511941,COL,AEMAPPS,2016,
555511939,COL,AEMAPPS,2016,
130,COL,AEMAPPS,2016,
132,COL,AEMAPPS,2016,
137,COL,AEMAPPS,2016,
144,COL,AEMAPPS,2016,
13966,COL,AEMAPPS,2016,
152,COL,AEMAPPS,2016,
19995,COL,AEMAPPS,2016,
555555692,COL,AEMAPPS,2016,
303549,COL,AEMAPPS,2016,
555511936,COL,AEMAPPS,2016,
1295,CIV,METT,2017,
721,CIV,METT,2017,
7522,CIV,METT,2017,
20174,CIV,METT,2017,
723,CIV,METT,2017,
7523,CIV,METT,2017,
9545,CIV,Enhancing Our Heritage,2017,
349975,GRC,Birdlife IBA,2013,
349976,GRC,Birdlife IBA,2013,
555527018,GRC,Birdlife IBA,2013,
555539662,GRC,Birdlife IBA,2013,
555527017,GRC,Birdlife IBA,2013,
555539660,GRC,Birdlife IBA,2013,
11865,GRC,METT,2003,
18862,GRC,WHA Outlook Report,2014,
18863,GRC,WHA Outlook Report,2014,
3025,GRC,GOBI Survey,2006,
673,GRC,METT,2003,
12431,GRC,Wetland tracking tool,2005,
3026,GRC,GOBI Survey,2006,
115868,BRA,RAPPAM,2015,
115993,BRA,RAPPAM,2015,
31756,BRA,RAPPAM,2015,
31755,BRA,RAPPAM,2015,
198356,BRA,RAPPAM,2015,
555576473,BRA,RAPPAM,2015,
313631,BRA,RAPPAM,2015,
351727,BRA,RAPPAM,2015,
351716,BRA,RAPPAM,2015,
19458,BRA,RAPPAM,2015,
116096,BRA,RAPPAM,2015,
351840,BRA,RAPPAM,2015,
7906,BRA,RAPPAM,2015,
16105,BRA,RAPPAM,2015,
115666,BRA,RAPPAM,2015,
19755,BRA,RAPPAM,2015,
351841,BRA,RAPPAM,2015,
351813,BRA,RAPPAM,2015,
555600305,BRA,RAPPAM,2015,
198367,BRA,RAPPAM,2015,
351746,BRA,RAPPAM,2015,
198355,BRA,RAPPAM,2015,
555600306,BRA,RAPPAM,2015,
478423,BRA,RAPPAM,2015,
351721,BRA,RAPPAM,2015,
351821,BRA,RAPPAM,2015,
555512220,BRA,RAPPAM,2015,
351711,BRA,RAPPAM,2015,
2216,BRA,RAPPAM,2015,
5124,BRA,RAPPAM,2015,
10822,BRA,RAPPAM,2015,
351762,BRA,RAPPAM,2015,
18738,BRA,RAPPAM,2015,
10845,BRA,RAPPAM,2015,
2218,BRA,RAPPAM,2015,
2219,BRA,RAPPAM,2015,
10826,BRA,RAPPAM,2015,
10823,BRA,RAPPAM,2015,
2220,BRA,RAPPAM,2015,
116085,BRA,RAPPAM,2015,
2221,BRA,RAPPAM,2015,
351766,BRA,RAPPAM,2015,
4891,BRA,RAPPAM,2015,
5123,BRA,RAPPAM,2015,
7908,BRA,RAPPAM,2015,
18740,BRA,RAPPAM,2015,
10830,BRA,RAPPAM,2015,
351728,BRA,RAPPAM,2015,
10842,BRA,RAPPAM,2015,
2222,BRA,RAPPAM,2015,
33608,BRA,RAPPAM,2015,
115772,BRA,RAPPAM,2015,
33712,BRA,RAPPAM,2015,
198359,BRA,RAPPAM,2015,
351789,BRA,RAPPAM,2015,
351791,BRA,RAPPAM,2015,
478413,BRA,RAPPAM,2015,
19745,BRA,RAPPAM,2015,
351714,BRA,RAPPAM,2015,
351820,BRA,RAPPAM,2015,
19759,BRA,RAPPAM,2015,
10811,BRA,RAPPAM,2015,
351722,BRA,RAPPAM,2015,
198360,BRA,RAPPAM,2015,
10803,BRA,RAPPAM,2015,
351717,BRA,RAPPAM,2015,
351732,BRA,RAPPAM,2015,
198350,BRA,RAPPAM,2015,
19763,BRA,RAPPAM,2015,
351809,BRA,RAPPAM,2015,
198361,BRA,RAPPAM,2015,
198362,BRA,RAPPAM,2015,
198363,BRA,RAPPAM,2015,
351792,BRA,RAPPAM,2015,
351763,BRA,RAPPAM,2015,
351726,BRA,RAPPAM,2015,
33751,BRA,RAPPAM,2015,
31763,BRA,RAPPAM,2015,
19758,BRA,RAPPAM,2015,
351779,BRA,RAPPAM,2015,
354008,BRA,RAPPAM,2015,
351764,BRA,RAPPAM,2015,
351731,BRA,RAPPAM,2015,
351807,BRA,RAPPAM,2015,
351810,BRA,RAPPAM,2015,
10814,BRA,RAPPAM,2015,
351835,BRA,RAPPAM,2015,
351790,BRA,RAPPAM,2015,
19746,BRA,RAPPAM,2015,
31768,BRA,RAPPAM,2015,
351752,BRA,RAPPAM,2015,
351811,BRA,RAPPAM,2015,
351771,BRA,RAPPAM,2015,
10802,BRA,RAPPAM,2015,
31770,BRA,RAPPAM,2015,
19747,BRA,RAPPAM,2015,
10808,BRA,RAPPAM,2015,
351817,BRA,RAPPAM,2015,
31759,BRA,RAPPAM,2015,
351788,BRA,RAPPAM,2015,
351815,BRA,RAPPAM,2015,
478418,BRA,RAPPAM,2015,
351814,BRA,RAPPAM,2015,
10815,BRA,RAPPAM,2015,
351816,BRA,RAPPAM,2015,
478424,BRA,RAPPAM,2015,
351842,BRA,RAPPAM,2015,
352062,BRA,RAPPAM,2015,
352027,BRA,RAPPAM,2015,
352197,BRA,RAPPAM,2015,
555576433,BRA,RAPPAM,2015,
33617,BRA,RAPPAM,2015,
351741,BRA,RAPPAM,2015,
55,BRA,RAPPAM,2015,
351806,BRA,RAPPAM,2015,
19447,BRA,RAPPAM,2015,
19273,BRA,RAPPAM,2015,
19448,BRA,RAPPAM,2015,
1974,BRA,RAPPAM,2015,
351730,BRA,RAPPAM,2015,
65,BRA,RAPPAM,2015,
64,BRA,RAPPAM,2015,
351748,BRA,RAPPAM,2015,
351827,BRA,RAPPAM,2015,
19275,BRA,RAPPAM,2015,
351828,BRA,RAPPAM,2015,
351712,BRA,RAPPAM,2015,
351804,BRA,RAPPAM,2015,
62,BRA,RAPPAM,2015,
2215,BRA,RAPPAM,2015,
71,BRA,RAPPAM,2015,
555600317,BRA,RAPPAM,2015,
351793,BRA,RAPPAM,2015,
56,BRA,RAPPAM,2015,
351718,BRA,RAPPAM,2015,
66,BRA,RAPPAM,2015,
73,BRA,RAPPAM,2015,
75,BRA,RAPPAM,2015,
555576266,BRA,RAPPAM,2015,
57,BRA,RAPPAM,2015,
351818,BRA,RAPPAM,2015,
53,BRA,RAPPAM,2015,
351839,BRA,RAPPAM,2015,
68,BRA,RAPPAM,2015,
19762,BRA,RAPPAM,2015,
2581,BRA,RAPPAM,2015,
54,BRA,RAPPAM,2015,
351819,BRA,RAPPAM,2015,
19274,BRA,RAPPAM,2015,
351833,BRA,RAPPAM,2015,
351824,BRA,RAPPAM,2015,
19272,BRA,RAPPAM,2015,
478431,BRA,RAPPAM,2015,
81060,BRA,RAPPAM,2015,
351784,BRA,RAPPAM,2015,
478419,BRA,RAPPAM,2015,
198353,BRA,RAPPAM,2015,
198369,BRA,RAPPAM,2015,
198351,BRA,RAPPAM,2015,
198281,BRA,RAPPAM,2015,
2186,BRA,RAPPAM,2015,
351738,BRA,RAPPAM,2015,
351825,BRA,RAPPAM,2015,
351823,BRA,RAPPAM,2015,
6957,BRA,RAPPAM,2015,
18745,BRA,RAPPAM,2015,
52,BRA,RAPPAM,2015,
48,BRA,RAPPAM,2015,
5127,BRA,RAPPAM,2015,
18742,BRA,RAPPAM,2015,
5126,BRA,RAPPAM,2015,
10795,BRA,RAPPAM,2015,
44,BRA,RAPPAM,2015,
42,BRA,RAPPAM,2015,
43,BRA,RAPPAM,2015,
6074,BRA,RAPPAM,2015,
18744,BRA,RAPPAM,2015,
31752,BRA,RAPPAM,2015,
31750,BRA,RAPPAM,2015,
31751,BRA,RAPPAM,2015,
351795,BRA,RAPPAM,2015,
168214,BRA,RAPPAM,2015,
352139,BRA,RAPPAM,2015,
555576482,BRA,RAPPAM,2015,
555576206,BRA,RAPPAM,2015,
19769,BRA,RAPPAM,2015,
352137,BRA,RAPPAM,2015,
555599928,BRA,RAPPAM,2015,
31774,BRA,RAPPAM,2015,
351759,BRA,RAPPAM,2015,
351834,BRA,RAPPAM,2015,
351777,BRA,RAPPAM,2015,
351772,BRA,RAPPAM,2015,
351749,BRA,RAPPAM,2015,
555576283,BRA,RAPPAM,2015,
352135,BRA,RAPPAM,2015,
351756,BRA,RAPPAM,2015,
354007,BRA,RAPPAM,2015,
31775,BRA,RAPPAM,2015,
351822,BRA,RAPPAM,2015,
351737,BRA,RAPPAM,2015,
351829,BRA,RAPPAM,2015,
351778,BRA,RAPPAM,2015,
351770,BRA,RAPPAM,2015,
478409,BRA,RAPPAM,2015,
351767,BRA,RAPPAM,2015,
555576438,BRA,RAPPAM,2015,
351773,BRA,RAPPAM,2015,
351802,BRA,RAPPAM,2015,
478421,BRA,RAPPAM,2015,
351837,BRA,RAPPAM,2015,
351761,BRA,RAPPAM,2015,
351781,BRA,RAPPAM,2015,
351725,BRA,RAPPAM,2015,
351753,BRA,RAPPAM,2015,
351799,BRA,RAPPAM,2015,
67715,BRA,RAPPAM,2015,
351797,BRA,RAPPAM,2015,
351768,BRA,RAPPAM,2015,
351769,BRA,RAPPAM,2015,
478425,BRA,RAPPAM,2015,
478426,BRA,RAPPAM,2015,
31776,BRA,RAPPAM,2015,
34026,BRA,RAPPAM,2015,
351830,BRA,RAPPAM,2015,
31777,BRA,RAPPAM,2015,
33716,BRA,RAPPAM,2015,
478422,BRA,RAPPAM,2015,
351713,BRA,RAPPAM,2015,
351785,BRA,RAPPAM,2015,
351780,BRA,RAPPAM,2015,
351776,BRA,RAPPAM,2015,
351831,BRA,RAPPAM,2015,
351786,BRA,RAPPAM,2015,
555576210,BRA,RAPPAM,2015,
478415,BRA,RAPPAM,2015,
478416,BRA,RAPPAM,2015,
351826,BRA,RAPPAM,2015,
61,BRA,RAPPAM,2015,
70,BRA,RAPPAM,2015,
10821,BRA,RAPPAM,2015,
10843,BRA,RAPPAM,2015,
18739,BRA,RAPPAM,2015,
33609,BRA,RAPPAM,2015,
33612,BRA,RAPPAM,2015,
33613,BRA,RAPPAM,2015,
33714,BRA,RAPPAM,2015,
33831,BRA,RAPPAM,2015,
41084,BRA,RAPPAM,2015,
41087,BRA,RAPPAM,2015,
67692,BRA,RAPPAM,2015,
115769,BRA,RAPPAM,2015,
115907,BRA,RAPPAM,2015,
115976,BRA,RAPPAM,2015,
115977,BRA,RAPPAM,2015,
351744,BRA,RAPPAM,2015,
351747,BRA,RAPPAM,2015,
351758,BRA,RAPPAM,2015,
351801,BRA,RAPPAM,2015,
351832,BRA,RAPPAM,2015,
352013,BRA,RAPPAM,2015,
352134,BRA,RAPPAM,2015,
352136,BRA,RAPPAM,2015,
352138,BRA,RAPPAM,2015,
352140,BRA,RAPPAM,2015,
352146,BRA,RAPPAM,2015,
352149,BRA,RAPPAM,2015,
352198,BRA,RAPPAM,2015,
352202,BRA,RAPPAM,2015,
478408,BRA,RAPPAM,2015,
478420,BRA,RAPPAM,2015,
478539,BRA,RAPPAM,2015,
555576157,BRA,RAPPAM,2015,
555576236,BRA,RAPPAM,2015,
555576325,BRA,RAPPAM,2015,
555576334,BRA,RAPPAM,2015,
555576352,BRA,RAPPAM,2015,
555599975,BRA,RAPPAM,2015,
555600076,BRA,RAPPAM,2015,
555600159,BRA,RAPPAM,2015,
115868,BRA,SAMGe,2016,
478429,BRA,SAMGe,2016,
115993,BRA,SAMGe,2016,
31756,BRA,SAMGe,2016,
31755,BRA,SAMGe,2016,
198356,BRA,SAMGe,2016,
555576473,BRA,SAMGe,2016,
313631,BRA,SAMGe,2016,
19751,BRA,SAMGe,2016,
19752,BRA,SAMGe,2016,
351727,BRA,SAMGe,2016,
351716,BRA,SAMGe,2016,
351742,BRA,SAMGe,2016,
19458,BRA,SAMGe,2016,
19484,BRA,SAMGe,2016,
116096,BRA,SAMGe,2016,
351840,BRA,SAMGe,2016,
7906,BRA,SAMGe,2016,
16105,BRA,SAMGe,2016,
18727,BRA,SAMGe,2016,
115666,BRA,SAMGe,2016,
19755,BRA,SAMGe,2016,
351841,BRA,SAMGe,2016,
351813,BRA,SAMGe,2016,
555600305,BRA,SAMGe,2016,
198367,BRA,SAMGe,2016,
351746,BRA,SAMGe,2016,
351787,BRA,SAMGe,2016,
198355,BRA,SAMGe,2016,
555600306,BRA,SAMGe,2016,
478423,BRA,SAMGe,2016,
31758,BRA,SAMGe,2016,
10086,BRA,SAMGe,2016,
115907,BRA,SAMGe,2016,
351720,BRA,SAMGe,2016,
351721,BRA,SAMGe,2016,
33831,BRA,SAMGe,2016,
10821,BRA,SAMGe,2016,
115976,BRA,SAMGe,2016,
115977,BRA,SAMGe,2016,
351729,BRA,SAMGe,2016,
351715,BRA,SAMGe,2016,
67692,BRA,SAMGe,2016,
351750,BRA,SAMGe,2016,
41084,BRA,SAMGe,2016,
115987,BRA,SAMGe,2016,
555600076,BRA,SAMGe,2016,
351821,BRA,SAMGe,2016,
555512220,BRA,SAMGe,2016,
351711,BRA,SAMGe,2016,
10846,BRA,SAMGe,2016,
2216,BRA,SAMGe,2016,
5124,BRA,SAMGe,2016,
10822,BRA,SAMGe,2016,
351762,BRA,SAMGe,2016,
18738,BRA,SAMGe,2016,
2217,BRA,SAMGe,2016,
10845,BRA,SAMGe,2016,
2218,BRA,SAMGe,2016,
2219,BRA,SAMGe,2016,
351803,BRA,SAMGe,2016,
351757,BRA,SAMGe,2016,
10826,BRA,SAMGe,2016,
10823,BRA,SAMGe,2016,
2220,BRA,SAMGe,2016,
116085,BRA,SAMGe,2016,
18739,BRA,SAMGe,2016,
2221,BRA,SAMGe,2016,
351766,BRA,SAMGe,2016,
4891,BRA,SAMGe,2016,
5123,BRA,SAMGe,2016,
7908,BRA,SAMGe,2016,
18740,BRA,SAMGe,2016,
10830,BRA,SAMGe,2016,
351728,BRA,SAMGe,2016,
10842,BRA,SAMGe,2016,
2222,BRA,SAMGe,2016,
351751,BRA,SAMGe,2016,
198359,BRA,SAMGe,2016,
351789,BRA,SAMGe,2016,
351791,BRA,SAMGe,2016,
351765,BRA,SAMGe,2016,
478413,BRA,SAMGe,2016,
19745,BRA,SAMGe,2016,
351714,BRA,SAMGe,2016,
351820,BRA,SAMGe,2016,
19759,BRA,SAMGe,2016,
351740,BRA,SAMGe,2016,
10809,BRA,SAMGe,2016,
10811,BRA,SAMGe,2016,
351722,BRA,SAMGe,2016,
198360,BRA,SAMGe,2016,
10803,BRA,SAMGe,2016,
351717,BRA,SAMGe,2016,
220239,BRA,SAMGe,2016,
351745,BRA,SAMGe,2016,
351732,BRA,SAMGe,2016,
198350,BRA,SAMGe,2016,
19763,BRA,SAMGe,2016,
351723,BRA,SAMGe,2016,
351809,BRA,SAMGe,2016,
198361,BRA,SAMGe,2016,
198362,BRA,SAMGe,2016,
198363,BRA,SAMGe,2016,
351792,BRA,SAMGe,2016,
351763,BRA,SAMGe,2016,
351726,BRA,SAMGe,2016,
33751,BRA,SAMGe,2016,
31763,BRA,SAMGe,2016,
19758,BRA,SAMGe,2016,
351779,BRA,SAMGe,2016,
354008,BRA,SAMGe,2016,
351764,BRA,SAMGe,2016,
351731,BRA,SAMGe,2016,
351807,BRA,SAMGe,2016,
351733,BRA,SAMGe,2016,
351810,BRA,SAMGe,2016,
10814,BRA,SAMGe,2016,
351835,BRA,SAMGe,2016,
351790,BRA,SAMGe,2016,
19746,BRA,SAMGe,2016,
351735,BRA,SAMGe,2016,
220241,BRA,SAMGe,2016,
31768,BRA,SAMGe,2016,
351755,BRA,SAMGe,2016,
351752,BRA,SAMGe,2016,
10810,BRA,SAMGe,2016,
31769,BRA,SAMGe,2016,
351811,BRA,SAMGe,2016,
351771,BRA,SAMGe,2016,
10802,BRA,SAMGe,2016,
31770,BRA,SAMGe,2016,
19747,BRA,SAMGe,2016,
10808,BRA,SAMGe,2016,
351817,BRA,SAMGe,2016,
31759,BRA,SAMGe,2016,
351788,BRA,SAMGe,2016,
351815,BRA,SAMGe,2016,
351812,BRA,SAMGe,2016,
478418,BRA,SAMGe,2016,
351814,BRA,SAMGe,2016,
10815,BRA,SAMGe,2016,
351816,BRA,SAMGe,2016,
555576252,BRA,SAMGe,2016,
478424,BRA,SAMGe,2016,
351734,BRA,SAMGe,2016,
351741,BRA,SAMGe,2016,
55,BRA,SAMGe,2016,
351806,BRA,SAMGe,2016,
19447,BRA,SAMGe,2016,
19273,BRA,SAMGe,2016,
59,BRA,SAMGe,2016,
555576157,BRA,SAMGe,2016,
19448,BRA,SAMGe,2016,
1974,BRA,SAMGe,2016,
351730,BRA,SAMGe,2016,
65,BRA,SAMGe,2016,
64,BRA,SAMGe,2016,
351748,BRA,SAMGe,2016,
351827,BRA,SAMGe,2016,
19737,BRA,SAMGe,2016,
19275,BRA,SAMGe,2016,
555600244,BRA,SAMGe,2016,
351828,BRA,SAMGe,2016,
351712,BRA,SAMGe,2016,
72,BRA,SAMGe,2016,
19428,BRA,SAMGe,2016,
74,BRA,SAMGe,2016,
351872,BRA,SAMGe,2016,
62,BRA,SAMGe,2016,
352002,BRA,SAMGe,2016,
351736,BRA,SAMGe,2016,
2215,BRA,SAMGe,2016,
71,BRA,SAMGe,2016,
555600317,BRA,SAMGe,2016,
67,BRA,SAMGe,2016,
69,BRA,SAMGe,2016,
351793,BRA,SAMGe,2016,
351774,BRA,SAMGe,2016,
56,BRA,SAMGe,2016,
351718,BRA,SAMGe,2016,
66,BRA,SAMGe,2016,
555576352,BRA,SAMGe,2016,
73,BRA,SAMGe,2016,
75,BRA,SAMGe,2016,
198352,BRA,SAMGe,2016,
555576266,BRA,SAMGe,2016,
352420,BRA,SAMGe,2016,
57,BRA,SAMGe,2016,
351760,BRA,SAMGe,2016,
60,BRA,SAMGe,2016,
351818,BRA,SAMGe,2016,
53,BRA,SAMGe,2016,
351839,BRA,SAMGe,2016,
68,BRA,SAMGe,2016,
19762,BRA,SAMGe,2016,
2581,BRA,SAMGe,2016,
54,BRA,SAMGe,2016,
351819,BRA,SAMGe,2016,
19274,BRA,SAMGe,2016,
351833,BRA,SAMGe,2016,
351824,BRA,SAMGe,2016,
61,BRA,SAMGe,2016,
19272,BRA,SAMGe,2016,
555599975,BRA,SAMGe,2016,
70,BRA,SAMGe,2016,
479431,BRA,SAMGe,2016,
41087,BRA,SAMGe,2016,
81060,BRA,SAMGe,2016,
351784,BRA,SAMGe,2016,
478419,BRA,SAMGe,2016,
198353,BRA,SAMGe,2016,
198369,BRA,SAMGe,2016,
198351,BRA,SAMGe,2016,
198366,BRA,SAMGe,2016,
198281,BRA,SAMGe,2016,
351801,BRA,SAMGe,2016,
555600159,BRA,SAMGe,2016,
46,BRA,SAMGe,2016,
2186,BRA,SAMGe,2016,
555576334,BRA,SAMGe,2016,
351794,BRA,SAMGe,2016,
351738,BRA,SAMGe,2016,
351825,BRA,SAMGe,2016,
351823,BRA,SAMGe,2016,
9822,BRA,SAMGe,2016,
19454,BRA,SAMGe,2016,
49,BRA,SAMGe,2016,
6957,BRA,SAMGe,2016,
18745,BRA,SAMGe,2016,
52,BRA,SAMGe,2016,
47,BRA,SAMGe,2016,
48,BRA,SAMGe,2016,
5127,BRA,SAMGe,2016,
51,BRA,SAMGe,2016,
